fold,feature,coefficient,abs_coefficient
Fold 1: Open 1 -> Open 2,diff_2024_win_pct__missing,-0.04335576333209785,0.04335576333209785
Fold 1: Open 1 -> Open 2,diff_career_assists_avg__missing,-0.04335576333209785,0.04335576333209785
Fold 1: Open 1 -> Open 2,diff_career_demos_avg__missing,-0.04335576333209785,0.04335576333209785
Fold 1: Open 1 -> Open 2,diff_career_games__missing,-0.04335576333209785,0.04335576333209785
Fold 1: Open 1 -> Open 2,diff_2024_assists_avg__missing,-0.04335576333209785,0.04335576333209785
Fold 1: Open 1 -> Open 2,diff_2024_demos_avg__missing,-0.04335576333209785,0.04335576333209785
Fold 1: Open 1 -> Open 2,diff_2024_games__missing,-0.04335576333209785,0.04335576333209785
Fold 1: Open 1 -> Open 2,diff_2024_goals_avg__missing,-0.04335576333209785,0.04335576333209785
Fold 1: Open 1 -> Open 2,diff_2024_rating__missing,-0.04335576333209785,0.04335576333209785
Fold 1: Open 1 -> Open 2,diff_2024_saves_avg__missing,-0.04335576333209785,0.04335576333209785
Fold 1: Open 1 -> Open 2,diff_2024_score_avg__missing,-0.04335576333209785,0.04335576333209785
Fold 1: Open 1 -> Open 2,diff_2024_shots_avg__missing,-0.04335576333209785,0.04335576333209785
Fold 1: Open 1 -> Open 2,diff_career_shots_avg__missing,-0.04335576333209785,0.04335576333209785
Fold 1: Open 1 -> Open 2,diff_career_win_pct__missing,-0.04335576333209785,0.04335576333209785
Fold 1: Open 1 -> Open 2,diff_career_saves_avg__missing,-0.04335576333209785,0.04335576333209785
Fold 1: Open 1 -> Open 2,diff_career_score_avg__missing,-0.04335576333209785,0.04335576333209785
Fold 1: Open 1 -> Open 2,diff_career_goals_avg__missing,-0.04335576333209785,0.04335576333209785
Fold 1: Open 1 -> Open 2,diff_career_rating__missing,-0.04335576333209785,0.04335576333209785
Fold 1: Open 1 -> Open 2,diff_career_games,0.024031144225731542,0.024031144225731542
Fold 1: Open 1 -> Open 2,diff_career_shots_avg,0.020879484967438106,0.020879484967438106
Fold 1: Open 1 -> Open 2,diff_career_goals_avg,-0.003188586839892691,0.003188586839892691
Fold 1: Open 1 -> Open 2,diff_2024_goals_avg,0.0013437526890400576,0.0013437526890400576
Fold 1: Open 1 -> Open 2,diff_prior_series_win_rate__missing,-0.00035775983300980027,0.00035775983300980027
Fold 1: Open 1 -> Open 2,diff_prior_game_win_rate__missing,-0.00035775983300980027,0.00035775983300980027
Fold 1: Open 1 -> Open 2,diff_recent3_series_win_rate__missing,-0.00035775983300980027,0.00035775983300980027
Fold 1: Open 1 -> Open 2,diff_recent5_series_win_rate__missing,-0.00035775983300980027,0.00035775983300980027
Fold 1: Open 1 -> Open 2,diff_recent3_avg_game_win_rate__missing,-0.00035775983300980027,0.00035775983300980027
Fold 1: Open 1 -> Open 2,diff_recent5_avg_game_win_rate__missing,-0.00035775983300980027,0.00035775983300980027
Fold 2: Open 1+2 -> Open 3,team_b_recent3_series_played,-1.0932331742069905,1.0932331742069905
Fold 2: Open 1+2 -> Open 3,is_playoff,1.011272387087646,1.011272387087646
Fold 2: Open 1+2 -> Open 3,diff_2024_games,0.8103505793129553,0.8103505793129553
Fold 2: Open 1+2 -> Open 3,diff_2024_assists_avg,0.8068810678164957,0.8068810678164957
Fold 2: Open 1+2 -> Open 3,team_a_blast_coverage,0.6115187504288792,0.6115187504288792
Fold 2: Open 1+2 -> Open 3,team_a_blast_players_with_stats,0.6115187504288792,0.6115187504288792
Fold 2: Open 1+2 -> Open 3,diff_2024_demos_avg,0.5910866594697388,0.5910866594697388
Fold 2: Open 1+2 -> Open 3,team_a_recent5_series_played,0.5682285819324544,0.5682285819324544
Fold 2: Open 1+2 -> Open 3,diff_career_assists_avg,0.513612843978323,0.513612843978323
Fold 2: Open 1+2 -> Open 3,team_b_recent5_series_played,-0.48445132982958045,0.48445132982958045
Fold 2: Open 1+2 -> Open 3,team_b_blast_coverage,-0.4654115856980393,0.4654115856980393
Fold 2: Open 1+2 -> Open 3,team_b_blast_players_with_stats,-0.46541158569803925,0.46541158569803925
Fold 2: Open 1+2 -> Open 3,team_a_recent3_series_played,0.4342908958454861,0.4342908958454861
Fold 2: Open 1+2 -> Open 3,diff_prior_series_played,-0.4055609178436004,0.4055609178436004
Fold 2: Open 1+2 -> Open 3,diff_career_shots_avg,0.40247413576803087,0.40247413576803087
Fold 2: Open 1+2 -> Open 3,diff_recent5_avg_game_win_rate,0.32486065610236836,0.32486065610236836
Fold 2: Open 1+2 -> Open 3,diff_career_demos_avg,0.31000994606735394,0.31000994606735394
Fold 2: Open 1+2 -> Open 3,diff_career_saves_avg,-0.2680876110123652,0.2680876110123652
Fold 2: Open 1+2 -> Open 3,diff_2024_goals_avg,-0.26210303556816156,0.26210303556816156
Fold 2: Open 1+2 -> Open 3,diff_2024_score_avg,0.2546489546753469,0.2546489546753469
Fold 2: Open 1+2 -> Open 3,diff_prior_game_win_rate,0.24946558179505487,0.24946558179505487
Fold 2: Open 1+2 -> Open 3,diff_career_games,-0.22687622713786268,0.22687622713786268
Fold 2: Open 1+2 -> Open 3,diff_career_goals_avg,0.2229706703814798,0.2229706703814798
Fold 2: Open 1+2 -> Open 3,diff_2024_shots_avg,-0.2217012442216862,0.2217012442216862
Fold 2: Open 1+2 -> Open 3,team_a_prior_series_played,-0.2208506922969671,0.2208506922969671
Fold 2: Open 1+2 -> Open 3,diff_2024_rating,0.1862069928813808,0.1862069928813808
Fold 2: Open 1+2 -> Open 3,diff_career_rating,0.17975664963554927,0.17975664963554927
Fold 2: Open 1+2 -> Open 3,diff_prior_series_win_rate,-0.15883526752941463,0.15883526752941463
Fold 2: Open 1+2 -> Open 3,diff_recent3_avg_game_win_rate,0.11978104326402172,0.11978104326402172
Fold 2: Open 1+2 -> Open 3,diff_career_win_pct,-0.11218540102547188,0.11218540102547188
Fold 2: Open 1+2 -> Open 3,team_b_prior_series_played,0.09437622750424642,0.09437622750424642
Fold 2: Open 1+2 -> Open 3,diff_2024_saves_avg,0.07610502335262642,0.07610502335262642
Fold 2: Open 1+2 -> Open 3,diff_recent5_series_win_rate,-0.060384852234808925,0.060384852234808925
Fold 2: Open 1+2 -> Open 3,diff_career_score_avg,-0.05990423917629581,0.05990423917629581
Fold 2: Open 1+2 -> Open 3,diff_recent3_series_win_rate,-0.05043660553540981,0.05043660553540981
Fold 2: Open 1+2 -> Open 3,diff_2024_win_pct__missing,0.038790475214194244,0.038790475214194244
Fold 2: Open 1+2 -> Open 3,diff_2024_demos_avg__missing,0.038790475214194244,0.038790475214194244
Fold 2: Open 1+2 -> Open 3,diff_2024_assists_avg__missing,0.038790475214194244,0.038790475214194244
Fold 2: Open 1+2 -> Open 3,diff_2024_saves_avg__missing,0.038790475214194244,0.038790475214194244
Fold 2: Open 1+2 -> Open 3,diff_2024_games__missing,0.038790475214194244,0.038790475214194244
Fold 2: Open 1+2 -> Open 3,diff_2024_goals_avg__missing,0.038790475214194244,0.038790475214194244
Fold 2: Open 1+2 -> Open 3,diff_2024_rating__missing,0.038790475214194244,0.038790475214194244
Fold 2: Open 1+2 -> Open 3,diff_2024_shots_avg__missing,0.038790475214194244,0.038790475214194244
Fold 2: Open 1+2 -> Open 3,diff_2024_score_avg__missing,0.038790475214194244,0.038790475214194244
Fold 2: Open 1+2 -> Open 3,diff_recent5_series_win_rate__missing,0.025540791598362228,0.025540791598362228
Fold 2: Open 1+2 -> Open 3,diff_recent3_series_win_rate__missing,0.025540791598362228,0.025540791598362228
Fold 2: Open 1+2 -> Open 3,diff_prior_game_win_rate__missing,0.025540791598362228,0.025540791598362228
Fold 2: Open 1+2 -> Open 3,diff_recent5_avg_game_win_rate__missing,0.025540791598362228,0.025540791598362228
Fold 2: Open 1+2 -> Open 3,diff_recent3_avg_game_win_rate__missing,0.025540791598362228,0.025540791598362228
Fold 2: Open 1+2 -> Open 3,diff_prior_series_win_rate__missing,0.025540791598362228,0.025540791598362228
Fold 2: Open 1+2 -> Open 3,diff_prior_series_win_streak,-0.011820843376268993,0.011820843376268993
Fold 2: Open 1+2 -> Open 3,diff_career_score_avg__missing,-0.006099346652101602,0.006099346652101602
Fold 2: Open 1+2 -> Open 3,diff_career_assists_avg__missing,-0.006099346652101602,0.006099346652101602
Fold 2: Open 1+2 -> Open 3,diff_career_games__missing,-0.006099346652101602,0.006099346652101602
Fold 2: Open 1+2 -> Open 3,diff_career_saves_avg__missing,-0.006099346652101602,0.006099346652101602
Fold 2: Open 1+2 -> Open 3,diff_career_rating__missing,-0.006099346652101602,0.006099346652101602
Fold 2: Open 1+2 -> Open 3,diff_career_goals_avg__missing,-0.006099346652101602,0.006099346652101602
Fold 2: Open 1+2 -> Open 3,diff_career_shots_avg__missing,-0.006099346652101602,0.006099346652101602
Fold 2: Open 1+2 -> Open 3,diff_career_demos_avg__missing,-0.006099346652101602,0.006099346652101602
Fold 2: Open 1+2 -> Open 3,diff_career_win_pct__missing,-0.006099346652101602,0.006099346652101602
Fold 2: Open 1+2 -> Open 3,diff_2024_win_pct,0.004592038254217306,0.004592038254217306
